Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2019 (#),Condo sales (%),1-year median price change (2018–2019) (%),5-year median price change (2015–2019) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Assault,Homicide,Sexual offenses,Arson,Burglary,Larceny,Vehicle thefts,Robbery,Vandalism (not included in violent/nonviolent total),Drug/narcotic offenses (not included in violent/nonviolent total),Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),"Commute by transit, biking, and walking (%)",Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),Walk score
2020,PLEASANT VALLEY*,"419,705","420,579",186,51,180,0,0,30,1,1994,"17,344","2,719",40,"70,346",77.1,56.5,8.9,4.6,1.6,28.6,17.4,10.5,"1,400",14.9,5.7,69.9,36,84.4,4.5,2.1,1.7,15.6,66,0,9,1,32,133,49,2,32,5,214,78,17,"1,057",37,26,5.5,0.2,1.7,7.4,0,2,2,22
2020,PORTSMOUTH,"387,063","375,000",248,30,131,1,1,36,1,1966,"10,960","10,074",33,"52,759",56.4,35.3,10.8,4.2,1.9,47.8,23.1,10,"1,142",28,5.9,71.6,34,80.9,1,3.6,0.1,19.1,126,0,11,3,43,171,80,6,90,5,294,146,40,63,9,18,12.6,7.3,1.8,21.8,0,3,3,63
2020,POWELLHURST-GILBERT,"297,794","300,000",202,39,314,13,2,45,1,1976,"25,880","7,535",36,"45,357",49.3,41.7,10.9,4.5,2.7,40.1,11.5,5,"1,085",23.8,8.7,60.1,38,84.4,1.9,1.9,1.6,15.6,499,1,36,6,155,653,245,48,231,142,"1,053",590,63,131,6,21,13.3,0.9,1.6,15.8,1,5,6,53
2020,REED,"588,620","556,000",247,33,40,0,15,39,0,1959,"2,903","6,289",30,"52,890",34.3,27.6,7.4,4.7,1.3,59.1,29.2,22.1,"1,240",13.8,5.6,83.5,15,64.3,5,12.8,1.8,35.7,33,0,1,0,20,115,56,2,22,3,191,36,78,0,0,14,12.3,5.7,15.7,33.6,0,3,3,64
2020,RICHMOND,"565,547","530,750",265,39,204,9,-4,14,1,1938,"13,482","10,600",36,"80,380",55.3,43.9,10.2,2.4,1,42.6,38.1,26.7,"1,411",9.8,4.3,90.4,25,80.1,2.6,5,1.1,19.9,109,0,7,2,102,479,122,10,107,8,703,128,62,4,1,16,13.3,12.1,5.8,31.2,0,6,6,90
2020,ROSE CITY PARK,"547,706","507,500",247,29,136,8,1,11,0,1936,"10,237","8,551",42,"88,110",67.5,48.5,14.2,2.8,1,33.5,34.6,25.6,"1,277",6.6,4,89.1,29.4,86.3,0.8,3.4,0.3,13.7,60,0,3,4,67,223,83,11,74,6,373,78,44,25,3,14,12,6.2,4,22.2,3,4,7,76
2020,ROSEWAY,"436,034","424,900",239,22,141,0,4,21,1,1941,"5,706","6,778",40,"66,066",68.5,48.8,15.4,2.5,1.9,31.5,28.3,19.7,"1,178",8.3,4.7,82.4,23.7,84,1.6,2.5,1,16,32,0,1,4,36,175,53,11,41,8,264,48,55,4,1,17,10,5.3,1.1,16.3,0,5,5,76
2020,RUSSELL,"369,841","366,700",202,31,47,0,2,42,0,1961,"3,762","4,710",50,"57,353",81.4,53,10.6,11.1,1.5,23.8,18.3,8.5,"1,120",11.8,9,81.2,18.8,87.8,1.8,2.9,0.4,12.2,24,0,1,1,37,102,28,10,20,4,167,36,54,15,3,19,4,3.6,0,7.6,0,2,2,36
2020,SABIN,"657,661","630,000",272,22,69,0,1,7,0,1927,"4,806","10,213",38,"98,983",66.1,45.2,9.8,1.8,1,42.3,35.9,33.6,"1,450",8.8,3.9,92.8,30.3,83.6,1.6,4.7,0.4,16.4,9,0,3,0,15,53,54,0,15,1,122,12,28,2,1,16,11.7,14.4,4.3,30.4,0,2,2,83
2020,SELLWOOD-MORELAND,"554,239","510,000",278,39,183,15,-2,13,2,1949,"8,643","4,151",41,"80,625",50.5,52.6,15.3,3.7,1.8,26.6,35.5,26.6,"1,115",10.2,6.1,91.1,26.3,82.1,7.2,4,0.8,17.9,85,0,13,2,54,301,52,6,74,5,407,106,59,312,23,15,8.2,8.9,4.5,21.6,0,6,6,81
2020,SOUTH BURLINGAME,"504,911","499,999",226,63,45,2,2,19,0,1963,"1,962","4,614",41,"100,124",77,52.9,14.7,3.1,0.3,29.1,40.6,30.2,"1,668",6.7,4.5,90.2,28.5,80.9,1.2,2.1,7,19.1,5,0,2,0,5,14,8,0,8,0,27,7,17,13,5,11,8.4,5.6,1.7,15.7,0,8,8,62
