Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2016 (#),Condo sales (%),1-year median price change (2015-2016) (%),5-year median price change (2012-2016) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of families with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2017,SELLWOOD-MORELAND,"514,593","489,930",265,21,218,17,8,56,0,1929,"8,579","4,121",40,"60,732",53.9,51.8,13.7,4.8,1.2,28.5,29.9,26.2,943,11.8,5.8,91.4,47.9,84.7,4.5,3.6,0.2,X,X,X,X,X,X,X,X,X,X,X,312,23,15,8.3,11.1,2.5,13.6,0,6,6,9.1,4.4,77
2017,SOUTH BURLINGAME,"491,397","460,000",217,25,42,0,9,44,2,1960,"1,888","4,441",40,"77,616",74.8,52.2,14.3,4.2,0.1,29.2,37,28.1,"1,314",9.8,10.6,89.5,43,76.5,6.1,3.5,4.3,X,X,X,X,X,X,X,X,X,X,X,13,5,10,8.3,7.4,2.4,9.8,0,8,8,2,4.7,52
2017,SOUTH PORTLAND,"499,453","425,000",335,37,197,67,9,26,1,1985,"9,291","5,457",36,"78,395",37.9,36.9,12.8,3.4,1.1,45.7,39,31.1,"1,385",13.3,6,85.5,25,66.1,7.6,7.9,2.2,X,X,X,X,X,X,X,X,X,X,X,70,6,10,17.3,4,13.2,17.2,4,23,27,11.2,6.6,55
2017,SOUTH TABOR,"407,135","416,000",228,17,100,7,15,70,2,1953,"6,677","8,355",38,"54,474",55.2,39.8,13.5,3.7,2.1,40.9,27.3,17.2,940,16.2,8.8,82.7,37.9,81.5,2.8,6,1,X,X,X,X,X,X,X,X,X,X,X,12,2,16,13.8,8.5,1.6,10.1,0,4,4,3.7,4.6,65
2017,SOUTHWEST HILLS,"903,658","784,450",292,43,126,13,14,49,1,1948,"7,152","2,964",43,"120,914",72,58.5,7.6,3.6,0.3,29.9,33.3,44.8,"1,192",11.2,7,88.8,42,83.2,4,4.4,0.4,X,X,X,X,X,X,X,X,X,X,X,168,14,9,5.6,2.6,12.9,15.5,2,5,7,1.6,0.7,31
2017,ST. JOHNS,"312,603","310,250",218,22,268,6,15,85,7,1959,"12,553","1,140",38,"55,773",68,48.9,12.7,3.7,2.7,31.9,16.2,9.5,"1,167",12.6,9.6,80.8,38.3,80.9,3.4,2.9,0,X,X,X,X,X,X,X,X,X,X,X,"2,180",31,19,8.8,2.3,1.3,3.6,0,5,5,21.4,1.9,59
2017,SULLIVAN’S GULCH,"402,928","350,000",251,20,43,65,0,67,2,1954,"3,194","10,013",37,"54,099",31.1,36.7,13.1,1.6,1.6,47.1,39.3,24.3,"1,007",10.8,5.3,88.2,32.8,74.3,1.6,4.8,1,X,X,X,X,X,X,X,X,X,X,X,5,2,12,11.6,11.3,8.9,20.2,3,4,7,2.9,9.2,85
2017,SUMNER,"264,096","279,450",181,32,50,0,22,107,6,1941,"2,170","2,743",37,"41,300",54.9,33.2,22.3,2.6,4,37.8,11.1,5.8,978,24.3,10,72,50,69.2,9.8,4.3,1.3,X,X,X,X,X,X,X,X,X,X,X,16,3,16,9,0.8,14.8,15.5,1,4,5,2.8,3.6,63
2017,SUNDERLAND,"275,667","295,000",144,85,3,0,23,228,0,1962,315,169,39,"43,344",45.9,30.7,23,2,5.8,38.3,8.3,4.9,970,26.1,12.4,76.6,52.5,59.7,14.1,5,1.1,X,X,X,X,X,X,X,X,X,X,X,57,5,18,8,1,19.8,20.7,0,3,3,3.9,2.1,16
2017,SUNNYSIDE,"478,095","457,500",267,26,90,28,-1,37,0,1933,"7,443","12,458",37,"62,001",47,34.2,10.8,3.2,0.5,51.2,37.6,25.7,"1,002",12.4,6.1,87.9,42.7,75.9,3.4,5.4,1,X,X,X,X,X,X,X,X,X,X,X,2,0,12,15.9,14.6,3.6,18.2,0,4,4,2.1,3.5,91
2017,SYLVAN-HIGHLANDS,"645,854","636,275",238,23,38,13,14,71,0,1971,"1,174","1,258",46,"159,853",90.1,67.9,9.1,4.7,0.4,17.9,34.5,41.7,"1,510",4.4,4.1,91.4,45.9,87.6,2.6,4,1.1,X,X,X,X,X,X,X,X,X,X,X,70,15,11,2.6,1,3.5,4.5,2,3,5,1.9,2.1,17
2017,Total,"433,630","380,000",233,26.7,"10,302",17,12,52,4,1957,"612,206","4,220.19",37,"55,003",52.9,40.9,12.6,4.2,2,40.3,27.2,18.3,971,18,8.4,80.5,45,79.4,3.4,4.4,1,—,—,—,—,—,—,—,—,—,—,—,"13,488",15,—,12.1,6.4,5.9,12.3,8,56,64,456.4,3.1,64
2017,UNIVERSITY PARK,"449,513","430,500",217,24,95,0,14,58,1,1952,"6,534","4,948",23,"56,716",57.8,27.1,7.8,2.5,0.6,59.1,23.4,19.4,"1,123",24.2,10.4,87.4,35.8,67.2,4.1,11,1.6,X,X,X,X,X,X,X,X,X,X,X,26,3,17,5.8,6.5,19.5,26,0,3,3,4.6,3.5,43
2017,VERNON,"499,204","490,000",237,25,55,9,16,51,4,1946,"2,652","8,555",36,"73,580",68.2,37.9,11.3,2,1.7,47.1,36.8,22.8,"1,227",14,6.6,89.6,45.6,79.9,1.4,5.2,1.6,X,X,X,X,X,X,X,X,X,X,X,17,9,16,10.5,13,2.9,15.8,0,2,2,0.6,1.8,85
2017,WEST PORTLAND PARK,"402,731","407,000",202,23,73,10,18,63,4,1978,"4,085","5,600",34,"65,765",58.9,42.3,15.1,3.7,0.3,38.6,29,15.4,"1,061",13.1,8.1,78.2,43.3,74.4,7.8,2.2,3.9,X,X,X,X,X,X,X,X,X,X,X,39,8,14,15.4,0.9,1.2,2.1,0,7,7,2.1,2.9,59
2017,WILKES,"286,171","293,000",167,29,215,16,13,61,5,1979,"9,508","3,085",43,"54,166",70.3,52.5,12.8,6.2,2.6,25.9,13.6,6.3,956,18.5,8.8,74.4,34.4,89.8,0.9,1.7,0.1,X,X,X,X,X,X,X,X,X,X,X,199,10,21,6,0.7,2.1,2.8,0,5,5,12.2,3.9,29
2017,WOODLAND PARK,"290,850","302,450",159,10,4,0,19,102,25,1945,301,"6,282",40,"46,606",51.7,41.3,14.1,5.7,0.4,38.5,17.2,6.4,"1,023",15.4,4.2,80.5,39.9,80.3,1.7,4.4,0.2,X,X,X,X,X,X,X,X,X,X,X,0,0,13,13.9,0.1,0.2,0.3,0,4,4,0.3,6,64
2017,WOODLAWN,"432,685","420,000",237,25,95,2,16,68,0,1954,"5,497","7,508",35,"64,955",67.7,34,12.3,1.7,2.4,49.5,32.3,18.8,"1,205",14.3,8.8,86.1,42.4,78.7,1.6,3.9,3.5,X,X,X,X,X,X,X,X,X,X,X,8,2,14,8.4,13.9,2.3,16.2,0,3,3,3.2,4.3,69
2017,WOODSTOCK,"467,332","425,000",247,17,153,0,8,66,0,1956,"8,385","6,726",39,"74,534",76.1,51.8,10.4,4,0.8,32.9,32,21.9,"1,286",9.5,5.3,89.9,46.6,85.2,2.6,3.2,0.8,X,X,X,X,X,X,X,X,X,X,X,14,2,19,9.1,5.6,4.7,10.3,0,5,5,3.8,3,67
