Year,Neighborhood (*Boundaries for starred neighborhoods extend beyond city limits; only data within city limits calculated.),Median 2020 home sale price ($),Average Sale Price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2020 (#),Total Condo Sales,Share of 2020 sales that were condos (%),1-year median price change 2019–20 (%),5-year median price change 2015–20 (%),Average year built of homes sold,Number of Short Sales,Number of Bank Owned,% Distressed Sales,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Parks and natural areas (Acres),Minutes by car to downtown (est.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score,Commute by public transit (%),Commute by walking (%),Commute by other non-car means (including cycling) (%)
2021,SUMNER,"337,250","355,712",239,42,46,0,0,10,55,1939,0,1,2.17,"1,491","1,044","2,017",2550,40,"52,033",61,22,5,24,30.5,3,18.3,2.8,45.4,12,6.5,76.5,23.5,68.6,14.6,5.2,0.1,19.9,43,1,5,2,7,26,90,38,30,11,29,76,16,19,6,60,10.8,12.7,2.6
2021,SUNDERLAND,"323,600","323,600",252,26,2,0,0,709,42,1934,0,0,0,"1,283","1,047",278,149,41,"56,001",50,25,5,21,23.3,3.2,19.2,4.2,50.1,11.5,4.2,79.6,20.4,60.2,20.5,6.3,0,26.8,32,0,0,4,5,30,79,26,23,1,147,485,57,17,3,10,10.2,17.5,1.3
2021,SUNNYSIDE,"551,000","562,840",282,35,103,22,21,5,20,1937,0,0,0,"1,998","1,420","8,049",13470,36,"79,553",40,11,3,19,34.3,3.1,11.1,0.7,50.8,38.7,25.2,91.9,8.1,75.2,2.3,7.3,0.4,10,76,0,5,2,9,108,357,132,87,4,11,74,2,13,4,91,15.4,5.7,12.8
2021,SYLVAN HIGHLANDS*,"745,000","819,465",263,68,52,6,12,-2,28,1978,0,0,0,"3,114","2,061","1,203",1289,49,"162,361",91,2,1,33,71.2,3,8.9,0.3,16.7,38.2,38.7,88.9,11.1,88.8,3.8,5.1,0.1,9,6,0,0,1,0,6,36,7,17,1,6,41,70,14,5,18,3.7,3.5,2.4
2021,UNIVERSITY PARK,"521,000","511,144",256,23,98,3,3,15,42,1961,0,1,1.02,"1,996","1,495","6,925",5409,23,"79,541",65,19,9,27,27.3,2.3,7.9,0.4,59.2,32.3,25.2,84.9,12.2,71.8,3.8,10.2,1.4,15.5,26,0,2,0,0,27,96,31,30,3,4,22,26,17,3,53,4.3,16.2,6.2
2021,VERNON,"600,500","586,429",275,45,60,8,13,19,45,1951,0,1,1.67,"2,135","1,520","2,870",9258,36,"95,408",67,10,5,29,39.2,2.2,10.7,0.8,47.2,34.5,27.8,92.8,7.2,85.1,1.6,5,0.5,7.1,23,0,3,0,2,19,62,19,18,0,10,35,17,16,2,88,12.6,3.3,11.5
2021,WEST PORTLAND PARK,"452,500","443,684",247,32,74,15,20,2,36,1983,0,0,0,"1,793","1,317","4,096",5615,36,"71,848",56,10,1,26,49.9,2.3,14.6,2.1,31.1,34.7,14.8,79.1,20.9,83.9,5.6,2.9,3.3,11.8,26,0,4,1,1,13,70,27,21,2,8,27,39,14,7,57,9.4,0.8,3.4
2021,WILKES,"374,000","357,442",200,37,183,44,24,11,47,1981,2,4,3.28,"1,786","1,227","9,150",2968,43,"64,411",73,11,6,28,51.4,6.5,14.6,2.8,24.8,15.5,8.9,72.2,27.8,89.2,1.8,2.3,0.3,4.4,87,1,4,4,9,42,184,94,111,5,11,35,200,23,6,31,5.7,0.8,1.9
2021,WOODLAND PARK,"385,000","409,500",198,22,7,0,0,17,57,1945,0,0,0,"2,069","1,173",283,5894,39,"60,460",49,9,6,25,36.1,8.3,11.1,1.6,43,18.4,10.6,82.3,17.7,81.9,2.7,6.6,0.4,9.8,5,0,1,0,1,1,14,4,9,0,25,67,0,15,5,67,10.5,6.1,2.2
2021,WOODLAWN,"485,000","494,982",269,33,103,21,20,3,38,1963,0,0,0,"1,839","1,600","5,842",7977,36,"88,850",70,13,5,27,36.1,2.3,10.8,0.8,50.1,33.5,22.8,91.6,8.4,84.2,2.2,4.6,0.7,7.5,46,3,1,2,0,32,150,47,34,1,9,39,8,15,4,74,14.1,3,12.2
2021,WOODSTOCK,"493,500","518,165",282,28,193,1,1,12,27,1960,0,1,0.52,"1,835","1,575","8,866",7111,39,"93,152",73,6,4,30,52.5,4.3,11.6,0.7,30.9,32.9,26.9,87.7,12.3,82.3,3.1,5.5,0.9,9.5,64,0,3,4,6,57,202,55,58,3,9,35,14,18,5,74,13,4.3,7.3
