Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2017 (#),Condo sales (%),1-year median price change (2016–2017) (%),5-year median price change (2013–2017) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2018,PEARL,"676,492","530,000",572,44,260,98,4,28,1,1972,"5,607","12,588",41,"68,803",28.9,30.9,17.5,2.6,2.6,46.2,38.2,30.1,"1,181",16.7,7.9,89.9,4.4,63.3,5.2,8.6,2.9,16.7,146,5,97,0,995,10,31,53,"1,145",192,238,9,3,7,15.6,5.1,22.8,27.8,3,5,8,5,10.34,96
2018,PIEDMONT,"452,624","445,000",221,28,115,8,9,49,2,1946,"7,124","7,393",36,"57,131",54.2,35.2,10.5,5.3,0.9,48.1,33.5,16.1,"1,050",16.2,8.2,87.7,25.7,83.3,2.2,3,0.2,5.4,74,2,31,0,157,11,5,39,227,92,45,30,5,13,13.5,9.4,2.9,12.3,0,4,4,6,5.72,71
2018,PLEASANT VALLEY,"388,520","377,500",174,47,178,2,7,51,6,1988,"11,414","1,790",38,"65,682",73.7,54.4,12.1,5.7,1.7,26.3,17.2,8.5,"1,182",16.4,5.7,65,38.8,86.8,3.5,2.9,1.5,7.9,77,2,31,0,144,9,1,69,244,89,29,"1,057",37,26,5.2,0.5,0.7,1.2,0,2,2,6,1.46,22
2018,PORTLAND TOTAL**,"460,277","400,350",248,31,10095,17,5,40,2,1958,"620,589","4,278",37,"58,423",53.08,40.9,12.6,4.2,1.8,40.5,28.1,18.8,"1,025",16.9,7.5,81,25.2,79.8,3.2,4.5,1,8.7,"8,047",311,"4,353",23,"25,215",671,"1,061","7,427","36,995","10,113",76,"13,530",15,–,12.1,6.5,6,12.5,8,54,62,454,3.13,65
2018,PORTSMOUTH,"364,657","360,000",254,36,185,2,10,57,3,1958,"11,213","10,308",33,"45,926",51.5,30.8,12.5,4,4.7,48.1,20.8,8.8,938,35.4,12.9,68.7,35.5,75.6,4.3,5.1,0.6,9.9,132,3,46,0,164,12,7,99,309,154,41,63,9,18,16.8,7,1,7.9,0,3,3,9,7.83,59
2018,POWELLHURST-GILBERT,"273,320","274,900",180,35,394,15,12,66,7,1969,"25,292","7,365",35,"38,122",50.2,41.6,11.3,5.3,3.5,38.1,11.1,3.9,947,28,10.9,60.1,41.7,82.9,2.4,1.5,1.5,5.4,438,12,146,1,624,33,54,340,"1,110",538,65,131,6,21,12.2,0.9,2.1,3,1,5,6,15,4.36,52
2018,REED,"533,454","497,000",253,24,40,0,2,55,0,1958,"2,793","6,052",30,"41,774",36.6,23.7,8,5,1.1,61.9,27.4,17.7,"1,038",20,9.4,86.7,13.4,63.6,6.6,13.9,1.2,21.6,29,1,24,0,103,0,0,46,173,30,73,0,0,14,11.6,4,21.9,26,0,3,3,1,1.86,62
2018,RICHMOND,"555,188","540,000",270,26,185,9,5,49,1,1936,"12,427","9,772",37,"73,527",58.3,42.9,10.6,2.9,1.4,42.5,34.9,27.9,"1,186",9.6,5.3,91.3,23.3,82.7,2.4,4,0.7,7.2,77,1,137,0,407,7,8,191,735,93,67,4,1,16,13.7,13.2,4.3,17.5,0,6,6,4,3.45,87
2018,ROSE CITY PARK,"551,735","550,000",236,21,150,1,7,45,0,1932,"9,885","8,258",41,"75,280",68,46.1,14.8,3.5,0.9,34.6,33.4,25.3,"1,183",8.9,5.5,91.2,28.3,85.8,0.8,3.5,0.3,4.6,32,4,53,0,212,2,3,96,361,41,41,25,3,14,12.2,6,3.1,9.1,3,4,7,5,4.45,71
2018,ROSEWAY,"435,826","422,500",242,22,153,0,5,56,0,1942,"5,426","6,446",41,"58,951",65.2,47.4,14.8,3.6,1.9,32.4,28.6,19.4,"1,144",8.7,7.5,86.3,23.5,83.5,1.6,1.5,0.7,3.8,37,1,36,0,188,6,8,86,310,52,67,4,1,17,10.9,5.7,1.4,7.1,0,4,4,2,1.94,76
